	cell_1	cell_2	cell_3	cell_4	cell_5	cell_6	cell_7	cell_8	cell_9	cell_10	cell_11	cell_12	cell_13	cell_14	cell_15	cell_16	cell_17	cell_18	cell_19	cell_20
ZBTB48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHL21	0.0	0.0	1.122923731803894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1163899898529053	0.0	0.4364053010940552	0.0
PHF13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7073955535888672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
THAP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7038152813911438	0.0	0.0	0.0	0.0	0.0	0.7392057776451111	0.0
DNAJC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
CAMTA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9459657669067383	0.0	0.0	0.3156827986240387	0.0	0.0	1.3503501415252686	0.7407816052436829	0.0	1.8266210556030273	0.4364053010940552	0.0
VAMP3	0.0	0.0	1.122923731803894	0.0	1.3843475580215454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47770506143569946	0.0	0.0	0.0	0.0	0.0	0.0
PER3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3156827986240387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARK7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.117565393447876	0.9459657669067383	0.7899220585823059	0.0	1.696412205696106	0.7038152813911438	1.401638388633728	1.3503501415252686	0.7407816052436829	0.0	1.0070887804031372	1.779049277305603	0.0
ERRFI1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RERE	0.7123874425888062	0.0	0.0	0.0	0.0	1.4627575874328613	0.0	0.0	0.0	0.0	0.0	0.0	1.1128113269805908	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENO1	0.0	0.0	1.122923731803894	1.1398509740829468	0.0	0.0	0.0	1.117565393447876	0.0	0.0	1.4471484422683716	2.555539608001709	1.1128113269805908	0.7996399402618408	0.0	0.7407816052436829	0.0	0.0	1.5748361349105835	0.0
ENO1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A5	0.0	1.0914636850357056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR34AHG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6PD	0.7123874425888062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9459657669067383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPSB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.117565393447876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
TMEM201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PIK3CD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PIK3CD-AS2	1.4150177240371704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47770506143569946	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
CLSTN1	0.7123874425888062	0.0	1.638541579246521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTNNBIP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4232525825500488	0.0	1.4471484422683716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3503501415252686	0.7407816052436829	0.0	0.0	0.0	0.0
